,Country,Happiness Score_2015,Happiness Score_2016,Happiness Score_2017,Happiness Score_2018,Happiness Score_2019,Avg Happiness,ContinentName,City,CapitalLatitude,CapitalLongitude,Temp,Cloudiness,Wind Speed,Humidity
64,Turkmenistan,5.547999999999999,5.658,5.82200002670288,5.636,5.247000000000001,5.582200005340576,Asia,Ashgabat,37.95,58.38333299999999,32.0,75.0,2.3,93.0
65,Mauritius,5.477,5.648,5.62900018692017,5.891,5.888,5.7066000373840335,Africa,Port Louis,-20.15,57.483332999999995,78.08,40.0,3.44,94.0
66,Estonia,5.4289999999999985,5.517,5.61100006103516,5.739,5.893,5.637800012207032,Europe,Tallinn,59.43333333333333,24.716667,18.46,90.0,4.61,79.0
67,Indonesia,5.399,5.314,5.26200008392334,5.093,5.192,5.2520000167846685,Asia,Jakarta,-6.166666666666668,106.816667,78.71,40.0,3.44,94.0
68,Vietnam,5.36,5.061,5.07399988174438,5.103,5.175,5.154599976348876,Asia,Hanoi,21.03333333333333,105.85,64.4,63.0,2.3,82.0
69,Turkey,5.332000000000002,5.3889999999999985,5.5,5.483,5.372999999999998,5.4154,Europe,Ankara,39.93333333333333,32.866667,10.4,0.0,1.14,79.0
70,Kyrgyzstan,5.2860000000000005,5.185,5.0040001869201705,5.131,5.261,5.1734000373840345,Asia,Bishkek,42.86666666666667,74.6,33.8,90.0,2.24,93.0
71,Nigeria,5.268,4.875,5.07399988174438,5.155,5.265,5.127399976348877,Africa,Abuja,9.083333333333334,7.533333,68.09,63.0,4.76,24.0
72,Bhutan,5.252999999999999,5.1960000000000015,5.01100015640259,5.082,5.082,5.124800031280519,Asia,Thimphu,27.466666666666665,89.633333,44.31,0.0,0.43,57.0
73,Azerbaijan,5.2120000000000015,5.291,5.2340002059936515,5.2010000000000005,5.207999999999998,5.22920004119873,Europe,Baku,40.38333333333333,49.866667,39.2,75.0,11.5,75.0
74,Pakistan,5.194,5.1320000000000014,5.26900005340576,5.472,5.653,5.344000010681151,Asia,Islamabad,33.68333333333333,73.05,54.0,99.0,4.59,71.0
75,Jordan,5.192,5.303,5.33599996566772,5.1610000000000005,4.9060000000000015,5.179599993133545,Asia,Amman,31.95,35.933333000000005,41.0,40.0,3.44,87.0
76,Montenegro,5.192,5.1610000000000005,5.23699998855591,5.347,5.523,5.291999997711182,Europe,Podgorica,42.43333333333333,19.266667,37.58,75.0,1.14,87.0
77,China,5.14,5.245,5.2729997634887695,5.246,5.191,5.218999952697754,Asia,Beijing,39.91666666666666,116.38333300000001,49.19,0.0,4.47,31.0
78,Zambia,5.129,4.795,4.513999938964839,4.377,4.107,4.584399987792968,Africa,Lusaka,-15.416666666666664,28.283333000000002,64.04,100.0,6.46,98.0
79,Romania,5.124,5.528,5.824999809265139,5.945,6.07,5.698399961853028,Europe,Bucharest,44.43333333333333,26.1,27.63,0.0,1.14,68.0
80,Serbia,5.122999999999998,5.1770000000000005,5.39499998092651,5.398,5.603,5.339199996185301,Europe,Belgrade,44.83333333333334,20.5,40.05,40.0,2.3,87.0
81,Portugal,5.102,5.122999999999998,5.19500017166138,5.41,5.693,5.304600034332276,Europe,Lisbon,38.71666666666667,-9.133333,58.66,75.0,20.71,88.0
